n_clusters,inertia,silhouette
2,220005.06291951725,0.19801394163807276
3,200460.919355723,0.14662593252884257
4,184557.95341839196,0.1554777635413667
5,170083.62532399988,0.1604665871102451
6,158750.1728786732,0.14401816624517982
7,149464.21726586344,0.14906656135837543
8,143291.7383466926,0.133806735235212
9,138526.05144341444,0.13556080705894316
10,133637.176432144,0.13926894719277988
11,129486.36828251873,0.13299065793791462
12,125962.797594596,0.1255534288247074
13,122659.7088699648,0.1285739730493967
14,120257.04868487896,0.12636468074477333
15,118001.84440808717,0.12171907849107097
16,115711.19315042117,0.12414354206342254
17,114129.12059156572,0.11480243849770602
18,111644.19343310535,0.12048666343496847
19,110282.17171748998,0.12036799235493119
20,108578.97072277158,0.11702084635965804
21,106985.40148622406,0.11612285062548887
22,105872.6030427637,0.11195786994400565
23,104556.62793786387,0.11403077742311554
